0,633
0,1862
0,2582
1,652
1,654
2,332
2,1454
2,1666
2,1986
2,306
2,2112
2,1824
2,2305
2,1360
2,645
2,160
2,904
2,897
3,2544
4,1016
4,1761
4,2175
5,1629
5,1659
5,2546
6,373
7,208
8,1996
9,723
10,476
10,2545
11,1839
12,180
12,2476
12,1743
12,2555
12,2570
12,1826
12,1131
12,505
12,1765
13,1701
13,1810
14,158
14,2034
14,2077
14,2668
15,1093
15,1271
16,970
16,1632
16,2444
16,2642
17,24
17,927
17,1315
17,1316
17,2140
18,1560
18,1786
18,2082
18,2145
19,1939
20,1072
20,2374
20,2375
21,1043
21,2310
22,1234
22,2238
23,2159
24,2141
24,2045
24,1203
24,102
24,1848
24,487
24,1705
24,440
24,1740
25,1344
25,2011
25,2317
26,122
26,123
26,2454
26,2455
27,606
27,1810
27,2360
27,2578
28,1687
29,963
29,2645
30,697
30,738
30,1358
30,1416
30,2162
30,2343
31,1594
32,518
32,1850
32,1973
33,2040
33,2119
33,2121
33,1826
33,2133
33,836
33,1577
33,139
33,1457
33,1367
33,1501
33,310
33,1902
34,1358
35,1913
36,733
36,1739
36,201
36,2160
36,2309
36,1131
36,1441
36,963
36,1577
36,118
36,1421
36,1035
37,60
37,1190
37,2427
38,862
38,863
38,1160
39,1958
39,2133
39,519
39,1705
39,1739
39,657
39,548
39,2045
39,1351
40,507
40,866
40,1364
41,644
41,1914
42,87
42,1372
43,152
43,1530
43,1653
43,2399
43,2400
44,1582
44,2624
44,2144
44,442
44,2056
44,1826
44,73
45,733
45,133
45,505
45,1642
45,1317
45,525
45,1776
45,1634
45,2058
45,1003
45,2182
45,1739
46,1604
46,2366
47,163
47,1579
48,714
48,1705
48,1682
48,1973
48,2199
48,734
48,1634
48,2418
48,69
48,1842
48,1765
48,1914
49,1666
50,1441
51,258
51,1115
51,651
51,1013
51,1610
51,760
51,2168
51,1370
51,1848
51,306
51,582
51,1050
52,1139
52,1467
52,2053
52,2172
53,1103
53,1358
54,401
54,767
55,60
55,323
55,651
55,771
55,815
55,1079
55,1156
55,1983
55,2021
55,598
55,1501
55,2359
55,640
55,1158
55,310
55,2182
56,412
56,447
56,1616
57,2418
58,1715
59,105
59,615
59,1287
59,1358
59,2387
59,544
59,2075
59,2056
59,1810
59,1966
59,743
59,737
59,368
59,310
59,954
61,1080
61,1309
61,2162
61,2312
62,485
63,1322
64,1209
64,2616
65,543
65,619
65,2419
65,1782
65,650
65,1463
65,1307
65,739
65,540
65,1842
65,1147
65,1441
66,2631
67,282
67,2628
68,391
68,1358
68,1986
69,1013
69,1920
69,1926
69,2189
69,544
69,2133
69,1158
69,582
69,2269
69,897
69,640
69,1505
70,2184
71,206
71,1986
71,2691
72,1358
73,876
73,1183
73,954
73,1798
73,1692
73,2114
73,2045
73,1664
73,1300
73,1417
73,2250
73,1973
73,1171
73,1583
73,1443
73,1367
74,779
74,2176
74,1745
74,1907
74,1577
74,1889
74,610
74,2001
74,2160
74,582
74,118
74,1103
74,2376
75,84
75,583
75,2222
75,2223
75,2225
76,88
76,2018
77,659
77,1803
78,1219
78,1329
78,1418
79,603
80,257
80,1117
80,2049
81,347
81,423
81,527
81,2180
82,1138
83,1520
83,2581
84,284
84,2223
84,2226
85,1065
85,2487
85,2488
86,2295
87,842
87,2164
88,130
88,162
88,300
88,498
88,696
88,737
88,743
88,841
88,1288
88,1309
88,1394
88,1494
88,1658
88,1677
88,1732
88,1741
88,1847
88,1882
88,1908
88,2011
88,2012
88,2013
88,2014
88,2015
88,2017
88,2178
88,2394
88,316
88,540
88,1041
88,2243
88,1928
88,1428
88,155
88,541
88,553
88,2247
88,2169
88,1351
89,2071
89,379
89,2178
89,1203
89,1317
89,1054
89,1262
89,1505
89,2124
89,2199
89,1080
89,1655
89,650
90,156
91,330
91,1046
91,2123
91,2380
92,898
92,1836
93,550
93,950
93,1495
93,2151
94,675
94,934
94,1649
94,1966
94,2263
94,2355
94,2357
94,2490
94,603
94,1928
94,476
94,154
